audio_file,speaker_id,speaker_name,speaker_gender,chapter_id,chapter_title,book_id,book_title,utterance_id,chapter_duration_minutes,duration_seconds,duration_minutes,duration_source,duration_diff_percent,transcript_word_count,transcript_word_count_actual,speaking_rate_words_per_sec,file_size_bytes,subset,transcript_sample,transcript_full
1272-128104-0000.flac,1272,John Rose,M,128104,A 'Jolly' Art Critic,14240,Reviews,0000,2.42,5.86,0.098,mutagen_accurate,20.6,17,17,2.9,120041,dev-clean,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL
1272-128104-0001.flac,1272,John Rose,M,128104,A 'Jolly' Art Critic,14240,Reviews,0001,2.42,4.82,0.08,mutagen_accurate,68.5,10,10,2.07,101672,dev-clean,NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER,NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER
1272-128104-0002.flac,1272,John Rose,M,128104,A 'Jolly' Art Critic,14240,Reviews,0002,2.42,12.48,0.208,mutagen_accurate,36.5,32,32,2.56,255853,dev-clean,HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF LOOMING BEFORE US ,HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF LOOMING BEFORE US SIMILES DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND
1272-128104-0003.flac,1272,John Rose,M,128104,A 'Jolly' Art Critic,14240,Reviews,0003,2.42,9.9,0.165,mutagen_accurate,44.3,24,24,2.42,196122,dev-clean,HE HAS GRAVE DOUBTS WHETHER SIR FREDERICK LEIGHTON'S WORK IS REALLY GREEK AFTER ALL AND CAN DISCOVER,HE HAS GRAVE DOUBTS WHETHER SIR FREDERICK LEIGHTON'S WORK IS REALLY GREEK AFTER ALL AND CAN DISCOVER IN IT BUT LITTLE OF ROCKY ITHACA
1272-128104-0004.flac,1272,John Rose,M,128104,A 'Jolly' Art Critic,14240,Reviews,0004,2.42,29.4,0.49,mutagen_accurate,96.0,68,68,2.31,572784,dev-clean,LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS N,LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN
1272-128104-0005.flac,1272,John Rose,M,128104,A 'Jolly' Art Critic,14240,Reviews,0005,2.42,9.01,0.15,mutagen_accurate,75.3,18,18,2.0,182093,dev-clean,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EX,IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION
1272-128104-0006.flac,1272,John Rose,M,128104,A 'Jolly' Art Critic,14240,Reviews,0006,2.42,5.64,0.094,mutagen_accurate,64.4,12,12,2.13,112599,dev-clean,ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY,ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY
1272-128104-0007.flac,1272,John Rose,M,128104,A 'Jolly' Art Critic,14240,Reviews,0007,2.42,9.24,0.154,mutagen_accurate,70.2,19,19,2.06,177422,dev-clean,PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACT,PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACT
1272-128104-0008.flac,1272,John Rose,M,128104,A 'Jolly' Art Critic,14240,Reviews,0008,2.42,5.12,0.085,mutagen_accurate,63.1,11,11,2.15,100125,dev-clean,AS FOR ETCHINGS THEY ARE OF TWO KINDS BRITISH AND FOREIGN,AS FOR ETCHINGS THEY ARE OF TWO KINDS BRITISH AND FOREIGN
1272-128104-0009.flac,1272,John Rose,M,128104,A 'Jolly' Art Critic,14240,Reviews,0009,2.42,18.29,0.305,mutagen_accurate,48.8,43,43,2.35,359417,dev-clean,HE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY C,HE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES THE CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHAEL ANGELO WAS THE FURNISHING UPHOLSTERER
1272-128104-0010.flac,1272,John Rose,M,128104,A 'Jolly' Art Critic,14240,Reviews,0010,2.42,5.6,0.093,mutagen_accurate,30.5,15,15,2.68,107013,dev-clean,NEAR THE FIRE AND THE ORNAMENTS FRED BROUGHT HOME FROM INDIA ON THE MANTEL BOARD,NEAR THE FIRE AND THE ORNAMENTS FRED BROUGHT HOME FROM INDIA ON THE MANTEL BOARD
1272-128104-0011.flac,1272,John Rose,M,128104,A 'Jolly' Art Critic,14240,Reviews,0011,2.42,15.12,0.252,mutagen_accurate,55.7,34,34,2.25,299273,dev-clean,IN FACT HE IS QUITE SEVERE ON MISTER RUSKIN FOR NOT RECOGNISING THAT A PICTURE SHOULD DENOTE THE FRA,IN FACT HE IS QUITE SEVERE ON MISTER RUSKIN FOR NOT RECOGNISING THAT A PICTURE SHOULD DENOTE THE FRAILTY OF MAN AND REMARKS WITH PLEASING COURTESY AND FELICITOUS GRACE THAT MANY PHASES OF FEELING
1272-128104-0012.flac,1272,John Rose,M,128104,A 'Jolly' Art Critic,14240,Reviews,0012,2.42,5.38,0.09,mutagen_accurate,109.3,9,9,1.67,107771,dev-clean,ONLY UNFORTUNATELY HIS OWN WORK NEVER DOES GET GOOD,ONLY UNFORTUNATELY HIS OWN WORK NEVER DOES GET GOOD
1272-128104-0013.flac,1272,John Rose,M,128104,A 'Jolly' Art Critic,14240,Reviews,0013,2.42,7.1,0.118,mutagen_accurate,38.1,18,18,2.54,139157,dev-clean,MISTER QUILTER HAS MISSED HIS CHANCE FOR HE HAS FAILED EVEN TO MAKE HIMSELF THE TUPPER OF PAINTING,MISTER QUILTER HAS MISSED HIS CHANCE FOR HE HAS FAILED EVEN TO MAKE HIMSELF THE TUPPER OF PAINTING
1272-128104-0014.flac,1272,John Rose,M,128104,A 'Jolly' Art Critic,14240,Reviews,0014,2.42,2.25,0.037,mutagen_accurate,12.5,5,5,2.22,46388,dev-clean,BY HARRY QUILTER M A,BY HARRY QUILTER M A
